gene,DPP4,local
ENA|KF745068|KF745068.1,sp|P27487|DPP4_HUMAN,60
ENA|KF745068|KF745068.1,sp|P28843|DPP4_MOUSE,66
ENA|KF958702|KF958702.1,sp|P27487|DPP4_HUMAN,65
ENA|KF958702|KF958702.1,sp|P28843|DPP4_MOUSE,66
ENA|KF961222|KF961222.1,sp|P27487|DPP4_HUMAN,59
ENA|KF961222|KF961222.1,sp|P28843|DPP4_MOUSE,72
ENA|KJ156866|KJ156866.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156866|KJ156866.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ156869|KJ156869.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156869|KJ156869.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ156874|KJ156874.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156874|KJ156874.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ156881|KJ156881.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156881|KJ156881.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ156910|KJ156910.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156910|KJ156910.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ156934|KJ156934.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156934|KJ156934.1,sp|P28843|DPP4_MOUSE,72
ENA|KJ156944|KJ156944.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156944|KJ156944.1,sp|P28843|DPP4_MOUSE,69
ENA|KJ156949|KJ156949.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156949|KJ156949.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ156952|KJ156952.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ156952|KJ156952.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ361501|KJ361501.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ361501|KJ361501.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ361502|KJ361502.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ361502|KJ361502.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ361503|KJ361503.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ361503|KJ361503.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ556336|KJ556336.1,sp|P27487|DPP4_HUMAN,65
ENA|KJ556336|KJ556336.1,sp|P28843|DPP4_MOUSE,66
ENA|KJ813439|KJ813439.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ813439|KJ813439.1,sp|P28843|DPP4_MOUSE,72
ENA|KJ829365|KJ829365.1,sp|P27487|DPP4_HUMAN,60
ENA|KJ829365|KJ829365.1,sp|P28843|DPP4_MOUSE,66
ENA|KM015348|KM015348.1,sp|P27487|DPP4_HUMAN,60
ENA|KM015348|KM015348.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027255|KM027255.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027255|KM027255.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027256|KM027256.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027256|KM027256.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027257|KM027257.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027257|KM027257.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027258|KM027258.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027258|KM027258.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027259|KM027259.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027259|KM027259.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027260|KM027260.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027260|KM027260.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027261|KM027261.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027261|KM027261.1,sp|P28843|DPP4_MOUSE,66
ENA|KM027262|KM027262.1,sp|P27487|DPP4_HUMAN,60
ENA|KM027262|KM027262.1,sp|P28843|DPP4_MOUSE,72
ENA|KM210277|KM210277.1,sp|P27487|DPP4_HUMAN,60
ENA|KM210277|KM210277.1,sp|P28843|DPP4_MOUSE,66
ENA|KM210278|KM210278.1,sp|P27487|DPP4_HUMAN,60
ENA|KM210278|KM210278.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209306|KP209306.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209306|KP209306.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209307|KP209307.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209307|KP209307.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209308|KP209308.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209308|KP209308.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209309|KP209309.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209309|KP209309.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209310|KP209310.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209310|KP209310.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209311|KP209311.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209311|KP209311.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209312|KP209312.1,sp|P27487|DPP4_HUMAN,59
ENA|KP209312|KP209312.1,sp|P28843|DPP4_MOUSE,66
ENA|KP209313|KP209313.1,sp|P27487|DPP4_HUMAN,60
ENA|KP209313|KP209313.1,sp|P28843|DPP4_MOUSE,66
ENA|KP223131|KP223131.1,sp|P27487|DPP4_HUMAN,60
ENA|KP223131|KP223131.1,sp|P28843|DPP4_MOUSE,66
ENA|KR011263|KR011263.1,sp|P27487|DPP4_HUMAN,60
ENA|KR011263|KR011263.1,sp|P28843|DPP4_MOUSE,69
ENA|KR011264|KR011264.1,sp|P27487|DPP4_HUMAN,60
ENA|KR011264|KR011264.1,sp|P28843|DPP4_MOUSE,69
ENA|KR011265|KR011265.1,sp|P27487|DPP4_HUMAN,60
ENA|KR011265|KR011265.1,sp|P28843|DPP4_MOUSE,69
ENA|KR011266|KR011266.1,sp|P27487|DPP4_HUMAN,60
ENA|KR011266|KR011266.1,sp|P28843|DPP4_MOUSE,69
ENA|KT006149|KT006149.2,sp|P27487|DPP4_HUMAN,61
ENA|KT006149|KT006149.2,sp|P28843|DPP4_MOUSE,72
ENA|KT026455|KT026455.1,sp|P27487|DPP4_HUMAN,61
ENA|KT026455|KT026455.1,sp|P28843|DPP4_MOUSE,72
ENA|KT026456|KT026456.1,sp|P27487|DPP4_HUMAN,61
ENA|KT026456|KT026456.1,sp|P28843|DPP4_MOUSE,72
ENA|KT029139|KT029139.1,sp|P27487|DPP4_HUMAN,61
ENA|KT029139|KT029139.1,sp|P28843|DPP4_MOUSE,72
